SEVERIDADE,PA_CODUNI,NUM_PACIENTES,NU_LATITUDE,NU_LONGITUDE
LEVE/MODERADA,9892346,2,-19.9749078,-43.8016835
LEVE/MODERADA,9939938,2,-3.762877,-38.574053
LEVE/MODERADA,9998519,2,-26.908,-48.662
LEVE/MODERADA,0000485,1,-8.0590835626491,-34.889708161354065
LEVE/MODERADA,0003018,1,-10.906096,-37.053472
LEVE/MODERADA,0003271,1,-10.9238671,-37.0549436
LEVE/MODERADA,0003832,1,-12.97298955,-38.50252668
LEVE/MODERADA,0003859,1,-12.95658124536197,-38.45121502876282
LEVE/MODERADA,0003875,1,-12.971,-38.511
LEVE/MODERADA,0004073,1,-12.970790112517784,-38.51085662841797
LEVE/MODERADA,0008982,1,-23.179,-45.887
LEVE/MODERADA,0010499,1,-15.822820253479152,-48.068779706954956
LEVE/MODERADA,0011746,1,-20.3205429,-40.3469302
LEVE/MODERADA,0011924,1,-20.2602294218116,-40.294761657714844
LEVE/MODERADA,0012505,1,-22.894523,-43.113011
LEVE/MODERADA,0015539,1,-25.42886611937584,-49.246721390074185
LEVE/MODERADA,0015938,1,-25.4231354,-49.2439211
LEVE/MODERADA,0016713,1,-25.4802283,-49.3367897
LEVE/MODERADA,0017051,1,-25.4771712,-49.1961121
LEVE/MODERADA,0017191,1,-25.5320517,-49.2508367
LEVE/MODERADA,0017280,1,-25.5270634,-49.270812
